id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,5.4,2.5,3.3,0.2,Ribes menziesii Pursh var. leptosmum (Coville) Jeps.
2,5.5,3.6,5.3,0.4,Barbula indica (Hook.) Spreng. var. indica
3,5.5,4.2,2.7,0.8,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. consimilis (Greene) G.L. Nesom & Baird var. ceruminosa (Durand & Hilg.) G.L. Nesom & Baird
4,7.0,3.5,5.6,2.3,Panicum hirsutum Sw.
5,7.8,2.1,5.7,2.1,Cyperus dipsaceus Liebm.
6,6.3,3.1,1.6,0.9,Penstemon watsonii A. Gray
7,6.3,3.5,4.4,1.6,Chamaesyce chaetocalyx (Boiss.) Wooton & Standl.
8,4.4,4.3,5.9,0.1,Mimulus pictus (Curran ex Greene) A. Gray
9,5.2,2.7,3.1,1.9,Scleria pauciflora Muhl. ex Willd.
10,7.2,3.8,2.5,1.0,Sesbania vesicaria (Jacq.) Elliott
11,7.4,4.2,6.7,1.6,Imshaugia aleurites (Ach.) S.L.F. Mey.
12,4.8,4.0,5.6,0.2,Silene hookeri Nutt. ssp. pulverulenta (M. Peck) C.L. Hitchc. & Maguire
13,6.1,2.7,3.9,2.3,Barbella pendula (Sull.) Fleisch.
14,5.2,4.2,5.6,2.3,Dalbergia palauensis Hosok.
15,4.6,2.8,2.8,0.3,Erythroxylum coca Lam.
16,5.5,4.2,2.4,1.9,Eriogonum umbellatum Torr. var. hausknechtii (Dammer) M.E. Jones
17,6.0,4.1,1.5,1.2,Globulinella Steere
18,5.8,2.2,6.1,1.7,Muhlenbergia jonesii (Vasey) Hitchc.
19,7.6,2.9,6.2,1.0,Croton lindheimerianus Scheele var. lindheimerianus
20,4.4,3.3,4.1,1.9,Hancornia B.A. Gomes
21,5.3,2.6,3.0,0.4,Trifolium vavilovii Eig
22,7.2,2.6,6.5,0.5,Gochnatia hypoleuca (DC.) A. Gray
23,6.3,4.3,2.8,1.2,Ceanothus fendleri A. Gray
24,6.9,3.3,6.2,0.9,Cleomella hillmanii A. Nelson
25,5.0,2.6,3.3,1.8,Salsola kali L.
26,4.7,3.3,3.3,1.1,Leptosiphon grandiflorus (Benth.) J.M. Porter & L.A. Johnson
27,6.3,4.3,2.6,0.6,Calochortus coeruleus (Kellogg) S. Watson
28,6.4,4.0,5.9,2.2,Tuctoria mucronata (Crampton) J. Reeder
29,6.1,3.8,1.3,1.2,Aulaxina quadrangula (Stirt.) R. Sant.
30,7.3,3.6,3.4,0.6,"Allium columbianum (Ownbey & Mingrone) P. Peterson, Annable & Rieseberg"
31,6.9,3.0,1.3,1.9,Erysimum cheiranthoides L.
32,5.4,3.9,6.2,1.8,Hesperocnide sandwicensis (Weddell) Weddell
33,5.0,3.5,4.3,0.7,Porina Müll. Arg.
34,6.0,4.1,5.3,1.2,Mentzelia pumila Nutt. ex Torr. & A. Gray var. pumila
35,4.8,3.2,5.3,0.8,Toninia bullata (G. Mey. & Flotow) Zahlbr.
36,5.1,3.6,4.0,0.5,Lobelia feayana A. Gray
37,4.7,2.9,1.1,1.8,Sphagnum pylaesii Brid.
38,6.0,2.5,5.2,1.8,Lepyrodiclis holosteoides (C.A. Mey.) Fenzl ex Fisch. & C.A. Mey.
39,5.4,4.0,2.6,2.3,Erigeron serpentinus G.L. Nesom
40,6.4,4.0,5.1,0.5,Thelypteris opulenta (Kaulf.) Fosberg
41,4.3,3.6,3.8,2.3,Parmeliella corallinoides (Hoffm.) Zahlbr.
42,5.8,3.2,4.7,2.0,Puccinellia wrightii (Scribn. & Merr.) Tzvelev
43,4.6,3.2,2.1,1.7,Lupinus arcticus S. Watson ssp. subalpinus (Piper & B.L. Rob.) D. Dunn
44,7.5,2.6,1.4,2.0,Potentilla flabellifolia Hook. ex Torr. & A. Gray
45,6.8,3.5,1.9,1.0,Scutula Tul.
46,4.9,3.7,6.2,0.3,Spergularia bocconii (Scheele) Foucaud ex Merino
47,7.7,3.9,3.7,1.3,Orobanche ludoviciana Nutt. ssp. multiflora (Nutt.) T.S. Collins ex H.L. White & W.C. Holmes
